# identifiant	branche HyDE	nom affiché	mode	URL source
catppuccin-mocha	Catppuccin-Mocha	Catppuccin Mocha	dark	https://github.com/HyDE-Project/hyde-themes/tree/Catppuccin-Mocha
catppuccin-latte	Catppuccin-Latte	Catppuccin Latte	light	https://github.com/HyDE-Project/hyde-themes/tree/Catppuccin-Latte
decay-green	Decay-Green	Decay Green	dark	https://github.com/HyDE-Project/hyde-themes/tree/Decay-Green
rose-pine	Rose-Pine	Rose Pine	dark	https://github.com/HyDE-Project/hyde-themes/tree/Rose-Pine
tokyo-night	Tokyo-Night	Tokyo Night	dark	https://github.com/HyDE-Project/hyde-themes/tree/Tokyo-Night
material-sakura	Material-Sakura	Material Sakura	light	https://github.com/HyDE-Project/hyde-themes/tree/Material-Sakura
graphite-mono	Graphite-Mono	Graphite Mono	dark	https://github.com/HyDE-Project/hyde-themes/tree/Graphite-Mono
cyberpunk-edge	Edge-Runner	Cyberpunk Edge	dark	https://github.com/HyDE-Project/hyde-themes/tree/Edge-Runner
frosted-glass	Frosted-Glass	Frosted Glass	dark	https://github.com/HyDE-Project/hyde-themes/tree/Frosted-Glass
gruvbox-retro	Gruvbox-Retro	Gruvbox Retro	dark	https://github.com/HyDE-Project/hyde-themes/tree/Gruvbox-Retro
